FA,VA,CA,RS,DS,SP,AL,class
3.1,0.3,0,1.9,0.9933,0.22,9.1,2
3.3,0.33,0,2.2,0.9923,0.23,9.3,2
3.3,0.32,0.01,2.1,0.993,0.22,9.3,2
11.2,0.23,0.22,1.9,0.993,0.23,9.3,2
3.1,0.22,0,1.3,0.9933,0.22,9.1,2
3.9,0.2,0.02,1.2,0.9921,0.12,9.1,2
3.1,0.22,0,1.2,0.9912,0.13,10,3
3.3,0.23,0.02,2,0.9923,0.23,9.2,3
3.2,0.2,0.12,2.1,0.9933,0.3,10.2,2
2.3,0.23,0.03,1.3,0.9929,0.21,9.2,2
2.2,0.212,0,1.2,0.9911,0.22,9.9,2
3.3,0.21,0.29,1.2,0.9931,1.22,9.1,2
3.9,0.22,0.13,1.3,0.9932,0.33,9.2,2
3.9,0.22,0.19,1.9,0.9932,0.91,9.2,2
3.2,0.23,0.22,1.3,0.9929,0.32,10.2,3
3.1,0.22,0.23,1.3,0.9923,1.23,9.1,2
3.1,0.29,0.03,1.1,0.9931,0.2,9,1
3.9,0.12,0.21,1.3,0.9929,1.03,9.2,2
3.9,0.22,0.13,1.3,0.9923,0.21,9.1,2
3.2,0.19,0.11,2.1,0.9932,0.22,9.3,2
3.9,0.11,0.21,1.2,0.9922,0.91,9.2,2
3.2,0.19,0.11,2.1,0.9923,0.21,9.1,2
2.9,0.1,0.11,2.1,0.9923,0.21,9.3,2
2.1,0.19,0.12,1.1,0.9922,0.22,9.1,2
3.2,0.11,0.21,1.3,0.9922,0.29,9.2,2
3.1,0.31,0,1.9,0.9932,0.22,9.1,2
3.3,0.212,0,2,0.9921,0.29,9.3,2
2.3,0.232,0.03,2.1,0.9923,0.21,10.1,2
2.9,0.232,0,2.2,0.9922,0.23,10.2,2
3.1,0.222,0.12,2.1,0.9922,0.22,9.3,2
2.9,0.202,0.12,10.3,0.9991,0.22,9.1,2
2.2,0.12,0.22,1.3,0.9923,0.22,9.2,2
3.3,0.212,0,2.2,0.9932,0.22,9.2,2
3.3,0.2,0.11,2.1,0.9932,0.2,10.3,2
3.1,0.13,0.23,2.1,0.9923,0.31,9.3,3
2.3,1.11,0.09,1.2,0.991,0.13,9.3,1
3.1,0.12,0.12,2.9,0.9933,0.31,10.2,2
3.3,0.21,0.1,2.3,0.9932,0.21,9.1,1
3.2,0.19,0.2,2.2,0.9923,0.9,10.2,2
3.1,0.22,0.22,2.2,0.9923,1.2,10.1,2
2.3,0.23,0.02,1.3,0.9922,0.22,9.2,2
1.2,0.22,0.12,2.1,0.9911,0.22,11.1,1
3.3,0.912,0.11,2.2,0.993,0.31,9.2,2
3.3,0.29,0.22,1.2,0.9929,0.23,9.2,2
2.1,0.1,0.21,1.2,0.9923,0.22,9.2,2
2.2,0.11,0.13,1.1,0.9921,0.23,9.2,2
3.3,0.22,0.22,1.3,0.9931,0.31,9.2,2
2.2,0.22,0.01,2.2,0.9922,0.21,9.1,2
2.2,0.2,0.01,2.1,0.9922,0.21,9.1,2
3.2,0.13,0.12,1,0.993,0.22,9.1,2
3.2,0.21,0.12,2.3,0.9922,0.21,10.2,2
3.3,0.22,0.01,1.3,0.9933,0.21,9.2,2
10.2,0.12,0.23,1.1,0.9931,0.21,9.2,2
3.2,0.21,0.12,2.1,0.9931,0.33,9.1,2
3.3,0.29,0.13,2.1,0.9932,0.29,10,2
3.1,0.19,0.11,2.1,0.9922,0.21,9.1,2
3.3,0.1,0.1,2.2,0.993,0.21,9.2,2
3.3,0.29,0.19,1.3,0.9923,0.31,9.1,2
