fixed acidity,volatile acidity,citric acid,residual sugar,density,sulphates,alcohol,quality
7.4,0.7,0,1.9,0.9978,0.56,9.4,5
7.8,0.88,0,2.6,0.9968,0.68,9.8,5
7.8,0.76,0.04,2.3,0.997,0.65,9.8,5
11.2,0.28,0.56,1.9,0.998,0.58,9.8,6
7.4,0.66,0,1.8,0.9978,0.56,9.4,5
7.9,0.6,0.06,1.6,0.9964,0.46,9.4,5
7.3,0.65,0,1.2,0.9946,0.47,10,7
7.8,0.58,0.02,2,0.9968,0.57,9.5,7
7.5,0.5,0.36,6.1,0.9978,0.8,10.5,5
6.7,0.58,0.08,1.8,0.9959,0.54,9.2,5
5.6,0.615,0,1.6,0.9943,0.52,9.9,5
7.8,0.61,0.29,1.6,0.9974,1.56,9.1,5
8.9,0.62,0.18,3.8,0.9986,0.88,9.2,5
8.9,0.62,0.19,3.9,0.9986,0.93,9.2,5
8.5,0.28,0.56,1.8,0.9969,0.75,10.5,7
8.1,0.56,0.28,1.7,0.9968,1.28,9.3,5
7.4,0.59,0.08,4.4,0.9974,0.5,9,4
7.9,0.32,0.51,1.8,0.9969,1.08,9.2,6
8.9,0.22,0.48,1.8,0.9968,0.53,9.4,6
7.6,0.39,0.31,2.3,0.9982,0.65,9.7,5
7.9,0.43,0.21,1.6,0.9966,0.91,9.5,5
8.5,0.49,0.11,2.3,0.9968,0.53,9.4,5
6.9,0.4,0.14,2.4,0.9968,0.63,9.7,6
6.3,0.39,0.16,1.4,0.9955,0.56,9.3,5
7.6,0.41,0.24,1.8,0.9962,0.59,9.5,5
7.1,0.71,0,1.9,0.9972,0.55,9.4,5
7.8,0.645,0,2,0.9964,0.59,9.8,6
6.7,0.675,0.07,2.4,0.9958,0.54,10.1,5
6.9,0.685,0,2.5,0.9966,0.57,10.6,6
8.3,0.655,0.12,2.3,0.9966,0.66,9.8,5
6.9,0.605,0.12,10.7,0.9993,0.52,9.4,6
5.2,0.32,0.25,1.8,0.9957,0.55,9.2,5
7.8,0.645,0,5.5,0.9986,0.55,9.6,6
7.8,0.6,0.14,2.4,0.9975,0.6,10.8,6
8.1,0.38,0.28,2.1,0.9968,0.73,9.7,7
5.7,1.13,0.09,1.5,0.994,0.48,9.8,4
7.3,0.45,0.36,5.9,0.9978,0.83,10.5,5
8.8,0.61,0.3,2.8,0.9976,0.51,9.3,4
7.5,0.49,0.2,2.6,0.9968,0.9,10.5,6
8.1,0.66,0.22,2.2,0.9968,1.2,10.3,5
6.8,0.67,0.02,1.8,0.9962,0.52,9.5,5
4.6,0.52,0.15,2.1,0.9934,0.56,13.1,4
7.7,0.935,0.43,2.2,0.997,0.73,9.2,5
8.7,0.29,0.52,1.6,0.9969,0.58,9.5,5
6.4,0.4,0.23,1.6,0.9958,0.56,9.2,5
5.6,0.31,0.37,1.4,0.9954,0.58,9.2,5
8.8,0.66,0.26,1.7,0.9971,0.74,9.2,5
6.6,0.52,0.04,2.2,0.9956,0.63,9.4,6
6.6,0.5,0.04,2.1,0.9955,0.64,9.4,6
8.6,0.38,0.36,3,0.997,0.56,9.4,5
7.6,0.51,0.15,2.8,0.9955,0.63,10.2,6
7.7,0.62,0.04,3.8,0.9978,0.53,9.5,5
10.2,0.42,0.57,3.4,0.9971,0.63,9.6,5
7.5,0.63,0.12,5.1,0.9983,0.77,9.4,5
7.8,0.59,0.18,2.3,0.9975,0.59,10,5
7.3,0.39,0.31,2.4,0.9962,0.54,9.4,6
8.8,0.4,0.4,2.2,0.998,0.64,9.2,5
7.7,0.69,0.49,1.8,0.9968,0.71,9.3,5
7.5,0.52,0.16,1.9,0.9968,0.62,9.5,7
7,0.735,0.05,2,0.9966,0.57,9.8,5
7.2,0.725,0.05,4.65,0.9962,0.39,10.9,5
7.5,0.52,0.11,1.5,0.9968,0.58,9.6,5
6.6,0.705,0.07,1.6,0.9962,0.58,10.7,5
9.3,0.32,0.57,2,0.9969,0.79,10.7,5
8,0.705,0.05,1.9,0.9962,0.95,10.5,6
7.7,0.63,0.08,1.9,0.9967,0.54,9.5,6
7.7,0.67,0.23,2.1,0.9962,0.48,9.5,5
7.7,0.69,0.22,1.9,0.9961,0.48,9.5,5
8.3,0.675,0.26,2.1,0.9976,0.53,9.2,4
